Unnamed: 0,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
6,JEUDI 27 JANVIER 2022,71,TIRAGE « FORTUNE THURSDAY» N°750,1,77,33,38
7,JEUDI 27 JANVIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°160,45,16,38,3
8,JEUDI 27 JANVIER 2022,4,TIRAGE «MONNI» N°160,17,12,42,72
9,JEUDI 27 JANVIER 2022,52,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°300,88,60,26,3
10,JEUDI 27 JANVIER 2022,38,TIRAGE «PRIVILEGE» N°300,42,15,32,89
11,JEUDI 27 JANVIER 2022,31,TIRAGE «KADO» NUMEROS MACHINE N°178,42,48,54,44
0,VENDREDI 28 JANVIER 2022,52,TIRAGE « FRIDAY BONANZA» N° 722,20,7,14,65
1,VENDREDI 28 JANVIER 2022,42,TIRAGE « WARI » NUMEROS MACHINE N°160,88,58,23,4
2,VENDREDI 28 JANVIER 2022,48,TIRAGE « WARI » N°160,20,86,41,87
3,VENDREDI 28 JANVIER 2022,13,TIRAGE « SOLUTION » NUMEROS MACHINE N°300,89,37,19,52
4,VENDREDI 28 JANVIER 2022,27,TIRAGE « SOLUTION » N°300,21,28,79,62
5,VENDREDI 28 JANVIER 2022,28,TIRAGE «CASH» NUMEROS MACHINE N°180,27,75,90,59
6,VENDREDI 28 JANVIER 2022,45,TIRAGE «CASH» N°180,44,64,5,81
7,JEUDI 27 JANVIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°160,45,16,38,3
8,JEUDI 27 JANVIER 2022,71,TIRAGE « FORTUNE THURSDAY» N°750,1,77,33,38
9,JEUDI 27 JANVIER 2022,52,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°300,88,60,26,3
10,JEUDI 27 JANVIER 2022,4,TIRAGE «MONNI» N°160,17,12,42,72
11,JEUDI 27 JANVIER 2022,31,TIRAGE «KADO» NUMEROS MACHINE N°178,42,48,54,44
0,LUNDI 31 JANVIER 2022,49,TIRAGE «AKWABA» N°161,68,11,23,77
1,LUNDI 31 JANVIER 2022,40,TIRAGE «AKWABA» NUMEROS MACHINE N°161,9,66,1,55
2,LUNDI 31 JANVIER 2022,81,TIRAGE «ETOILE» N°300,37,40,2,6
3,LUNDI 31 JANVIER 2022,19,TIRAGE «ETOILE» NUMEROS MACHINE N°300,65,70,33,82
4,LUNDI 31 JANVIER 2022,21,TIRAGE «REVEIL» N°180,80,37,59,61
5,LUNDI 31 JANVIER 2022,70,TIRAGE «REVEIL» NUMEROS MACHINE N°180,10,63,60,3
6,DIMANCHE 30 JANVIER 2022,58,TIRAGE «ESPOIR» N°197,83,63,39,76
7,DIMANCHE 30 JANVIER 2022,37,TIRAGE «AWALE» NUMEROS MACHINE N°160,76,32,46,64
8,DIMANCHE 30 JANVIER 2022,17,TIRAGE «AWALE» N°160,6,24,81,34
9,DIMANCHE 30 JANVIER 2022,77,TIRAGE «PRESTIGE» NUMEROS MACHINE N°228,43,4,54,80
10,DIMANCHE 30 JANVIER 2022,15,TIRAGE «PRESTIGE» N°228,63,20,27,17
11,DIMANCHE 30 JANVIER 2022,20,TIRAGE «BENEDICTION» NUMEROS MACHINE N°180,46,8,2,51
0,DIMANCHE 30 JANVIER 2022,89,TIRAGE «BENEDICTION» N°180,73,1,64,90
1,DIMANCHE 30 JANVIER 2022,20,TIRAGE «BENEDICTION» NUMEROS MACHINE N°180,46,8,2,51
2,SAMEDI 29 JANVIER 2022,57,TIRAGE « MOAYE » N°160,22,6,79,81
3,SAMEDI 29 JANVIER 2022,71,TIRAGE « MOAYE » NUMEROS MACHINE N°160,16,20,8,27
4,SAMEDI 29 JANVIER 2022,4,TIRAGE « DIAMANT» N°709,55,84,51,88
5,SAMEDI 29 JANVIER 2022,25,TIRAGE « DIAMANT» NUMEROS MACHINE N°709,69,82,75,65
6,SAMEDI 29 JANVIER 2022,11,TIRAGE « SOUTRA» N°180,80,52,24,47
7,SAMEDI 29 JANVIER 2022,88,TIRAGE « SOUTRA» NUMEROS MACHINE N°180,23,31,42,34
8,SAMEDI 29 JANVIER 2022,84,TIRAGE «SATURDAY NATIONAL » N°3093,63,58,89,51
9,VENDREDI 28 JANVIER 2022,42,TIRAGE « WARI » NUMEROS MACHINE N°160,88,58,23,4
10,VENDREDI 28 JANVIER 2022,52,TIRAGE « FRIDAY BONANZA» N° 722,20,7,14,65
11,VENDREDI 28 JANVIER 2022,13,TIRAGE « SOLUTION » NUMEROS MACHINE N°300,89,37,19,52
0,VENDREDI 11 MARS 2022,33,TIRAGE «CASH» N°186,47,82,46,54
1,VENDREDI 11 MARS 2022,58,TIRAGE «CASH» NUMEROS MACHINE N°186,13,51,59,79
2,JEUDI 10 MARS 2022,46,TIRAGE «MONNI» N°166,41,11,7,2
3,JEUDI 10 MARS 2022,4,TIRAGE «MONNI» NUMEROS MACHINE N°166,80,65,13,68
